Ref,Hyp,Count
[INS],O,152
9,O,100
0,O,88
CQ,K,78
[INS],K,73
[INS],W,72
.,K,71
P,W,70
8,O,68
V,K,65
<KA>,K,65
[INS],L,62
2,O,61
<SK>,K,60
H,R,59
F,R,58
/,R,58
J,W,58
1,O,58
4,K,56
Q,K,54
<BT>,K,52
X,K,50
6,[DEL],50
?,O,49
U,K,48
C,[DEL],48
Z,[DEL],46
E,[DEL],43
G,[DEL],40
",",W,39
I,T,39
<AR>,L,38
D,[DEL],37
Y,[DEL],34
[INS],R,33
5,[DEL],33
DE,[DEL],32
Y,O,30
7,[DEL],30
<AR>,R,28
B,[DEL],27
C,K,26
.,L,25
",",O,24
3,O,23
Z,K,23
Z,O,23
3,W,23
DE,K,23
7,O,21
?,W,21
3,[DEL],21
1,W,21
4,[DEL],20
5,L,20
G,O,20
E,O,20
F,[DEL],20
E,K,20
X,[DEL],19
J,O,19
6,K,19
6,O,19
B,O,19
G,K,19
<KA>,[DEL],18
D,K,17
5,O,17
C,O,17
P,[DEL],16
<SK>,[DEL],16
<BT>,[DEL],16
Q,[DEL],16
",",[DEL],15
V,W,15
5,K,15
D,O,15
7,K,15
I,[DEL],15
<SK>,W,15
H,[DEL],14
P,O,14
<KA>,O,14
8,[DEL],14
<SK>,O,13
DE,O,13
B,K,13
I,O,12
U,O,12
?,[DEL],12
/,[DEL],12
U,[DEL],12
C,W,12
F,O,12
I,S,12
H,K,11
<AR>,O,11
CQ,[DEL],11
J,[DEL],11
Y,W,11
7,W,10
5,R,10
V,[DEL],10
3,K,10
Q,W,10
X,W,9
<BT>,W,9
.,O,9
4,W,9
P,K,9
C,R,9
D,W,9
F,K,9
E,W,8
3,L,8
8,K,8
I,K,8
/,K,8
/,O,8
Q,O,8
2,W,8
X,O,8
.,[DEL],8
DE,R,8
Y,R,7
E,L,7
C,L,7
U,R,7
H,W,7
/,W,7
D,R,7
I,W,7
6,W,7
2,[DEL],7
F,W,7
CQ,O,7
Z,R,7
<AR>,[DEL],7
I,L,7
Z,W,7
B,R,7
G,R,7
M,K,6
U,L,6
<BT>,O,6
J,R,6
3,R,6
Y,K,6
4,A,6
B,W,6
<BT>,A,6
V,O,6
7,R,6
F,L,6
DE,L,6
",",K,5
<AR>,W,5
2,L,5
H,O,5
U,W,5
1,L,5
5,W,5
M,O,5
3,M,5
4,O,5
8,R,5
G,W,5
X,A,5
R,O,5
DE,W,5
",",L,4
H,L,4
V,L,4
S,O,4
0,K,4
0,W,4
M,W,4
[INS],T,4
6,R,4
E,R,4
[INS],S,4
9,[DEL],4
K,O,4
<KA>,R,4
?,K,4
I,R,4
M,R,4
J,K,4
X,T,3
/,T,3
X,R,3
V,R,3
1,K,3
B,L,3
L,O,3
",",R,3
<KA>,W,3
M,[DEL],3
?,R,3
N,O,3
Q,R,3
G,T,3
J,L,3
<SK>,L,3
Z,M,3
E,T,2
/,L,2
CQ,L,2
Y,L,2
CQ,R,2
<SK>,M,2
1,[DEL],2
<BT>,L,2
L,K,2
.,W,2
3,T,2
7,L,2
8,L,2
7,S,2
G,M,2
?,L,2
D,L,2
M,L,2
H,M,2
W,R,2
B,T,2
7,T,2
6,T,2
[INS],M,2
O,K,2
5,T,2
U,M,2
Y,T,2
<AR>,K,2
U,A,2
W,O,2
A,W,2
Y,A,2
Z,A,2
<BT>,R,2
Z,L,2
CQ,W,2
",",P,1
9,R,1
",",A,1
6,S,1
P,L,1
9,K,1
<BT>,M,1
T,R,1
CQ,A,1
4,R,1
G,A,1
1,M,1
.,A,1
1,R,1
P,R,1
4,L,1
[INS],N,1
S,K,1
T,O,1
?,T,1
D,M,1
A,M,1
<SK>,N,1
6,L,1
B,S,1
S,[DEL],1
O,W,1
5,M,1
E,M,1
G,L,1
Y,M,1
V,M,1
2,R,1
V,T,1
U,T,1
2,T,1
K,W,1
J,A,1
<BT>,T,1
5,A,1
P,M,1
I,M,1
0,L,1
D,N,1
N,W,1
<KA>,L,1
<SK>,R,1
<BT>,S,1
Z,S,1
S,R,1
T,K,1
T,W,1
R,W,1
V,N,1
B,A,1
O,R,1
W,L,1
A,L,1
D,T,1
D,A,1
<KA>,T,1
<AR>,T,1
Y,S,1
R,L,1
N,L,1
DE,N,1
8,W,1
DE,T,1
3,A,1
H,T,1
[INS],A,1
A,R,1
W,A,1
A,K,1
N,K,1
6,N,1
3,N,1
9,L,1
T,L,1
E,A,1
DE,M,1
DE,A,1
