,precision,recall,f1-score,support
!,1.0,1.0,1.0,32.0
"""",1.0,0.9655172413793104,0.9824561403508771,29.0
$,1.0,1.0,1.0,26.0
&,1.0,1.0,1.0,36.0
',1.0,0.8636363636363636,0.926829268292683,22.0
(,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
),1.0,0.9473684210526315,0.972972972972973,38.0
+,1.0,1.0,1.0,18.0
",",1.0,1.0,1.0,29.0
-,1.0,1.0,1.0,43.0
.,1.0,0.96875,0.9841269841269841,32.0
/,1.0,1.0,1.0,49.0
0,1.0,0.9459459459459459,0.9722222222222222,37.0
1,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
2,1.0,1.0,1.0,48.0
3,1.0,1.0,1.0,52.0
4,1.0,0.984375,0.9921259842519685,64.0
5,1.0,1.0,1.0,59.0
6,0.975,0.975,0.975,40.0
7,1.0,0.9692307692307692,0.984375,65.0
8,0.9655172413793104,0.9824561403508771,0.9739130434782609,57.0
9,1.0,0.9534883720930233,0.9761904761904762,43.0
:,1.0,1.0,1.0,29.0
;,1.0,1.0,1.0,36.0
<AA>,0.9545454545454546,1.0,0.9767441860465116,21.0
<HH>,1.0,1.0,1.0,30.0
<KA>,1.0,1.0,1.0,23.0
<NJ>,1.0,0.9090909090909091,0.9523809523809523,22.0
<SK>,1.0,0.9722222222222222,0.9859154929577465,36.0
<SN>,0.75,0.875,0.8076923076923077,24.0
<SOS>,1.0,0.9705882352941176,0.9850746268656716,34.0
<VE>,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
=,1.0,1.0,1.0,39.0
?,1.0,0.9827586206896551,0.991304347826087,58.0
@,1.0,0.9259259259259259,0.9615384615384616,27.0
A,0.9587628865979382,0.96875,0.9637305699481865,96.0
B,1.0,0.9813084112149533,0.9905660377358491,107.0
C,0.981651376146789,0.981651376146789,0.981651376146789,109.0
D,0.9928571428571429,1.0,0.996415770609319,139.0
E,0.961864406779661,0.9956140350877193,0.978448275862069,228.0
F,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0
G,0.975609756097561,0.9876543209876543,0.9815950920245399,81.0
H,0.9864864864864865,0.9864864864864865,0.9864864864864865,74.0
I,0.95,1.0,0.9743589743589743,57.0
J,1.0,1.0,1.0,60.0
K,0.9743589743589743,1.0,0.987012987012987,114.0
L,0.9900990099009901,0.970873786407767,0.9803921568627451,103.0
M,0.9888888888888889,0.967391304347826,0.978021978021978,92.0
N,0.925,1.0,0.961038961038961,111.0
O,1.0,0.9875,0.9937106918238994,80.0
P,0.9855072463768116,0.9714285714285714,0.9784172661870504,70.0
Q,0.9918032786885246,0.9758064516129032,0.983739837398374,124.0
R,0.9834710743801653,0.9754098360655737,0.9794238683127572,122.0
S,0.9849624060150376,0.9849624060150376,0.9849624060150376,133.0
T,0.9395973154362416,0.9929078014184397,0.9655172413793104,141.0
U,0.9911504424778761,0.9824561403508771,0.986784140969163,114.0
V,1.0,1.0,1.0,48.0
W,1.0,1.0,1.0,80.0
X,0.9861111111111112,1.0,0.993006993006993,71.0
Y,1.0,0.9833333333333333,0.9915966386554622,60.0
Z,1.0,1.0,1.0,71.0
_,1.0,0.9736842105263158,0.9866666666666667,38.0
accuracy,0.9820880245649949,0.9820880245649949,0.9820880245649949,0.9820880245649949
macro avg,0.9837073614265333,0.9754076532787835,0.9790432958947959,3908.0
weighted avg,0.9825936356522893,0.9820880245649949,0.9820287755760779,3908.0
